Latitude,Longitude
55.1855278,25.14101121
55.44641325,25.26126126
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.1855278,25.14101121
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.2741,25.1994
54.3667,24.4667
55.2741,25.1994
55.2741,25.1994
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.27766705,25.19812155
55.37561174,25.33636314
53.0,32.0
54.3667,24.4667
55.27737737,25.19797472
55.27737737,25.19797472
55.27737737,25.19797472
55.1221663,25.0982535
51.39186585,35.71031781
55.2741,25.1994
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.2741,25.1994
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.2777046,25.19725451
55.2741,25.1994
55.2741,25.1994
55.27529061,25.19752633
55.27529061,25.19752633
55.27529061,25.19752633
55.27529061,25.19752633
55.27529061,25.19752633
55.27529061,25.19752633
55.27529061,25.19752633
55.2741,25.1994
55.2741,25.1994
55.27746243,25.19598495
51.4231,35.6961
54.54296133,24.31636992
54.54296133,24.31636992
54.35444701,24.47768018
54.69359164,24.59876391
54.68499584,24.55868061
53.847818,23.424076
51.415701,35.74777
55.2741,25.1994
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
55.30866,25.2524451
54.3705,24.4764
55.27529061,25.19752633
55.27766705,25.19812155
55.27766705,25.19812155
55.27766705,25.19812155
54.3667,24.4667
55.27737737,25.19797472
55.2777046,25.19725451
55.2777046,25.19725451
